             -1|         10 Com|    1991-1107-1|          60123|          82246|             -1|    01991-01107
             -1|         16 Ser|     933-1240-1|          76425|         101640|             -1|    00933-01240
             -1|        145 CMa|    6537-3290-1|          35210|         173349|             -1|    06537-03290
             -1|         39 LMi|     1979-726-1|          52240|          81463|             -1|    01979-00726
             -1|        eps Lup|    7847-2505-1|          75264|         225712|             -1|    07847-02505
             -1|         60 Her|     984-2436-1|          83613|         102584|             -1|    00984-02436
             -1|         40 Cas|    4318-2488-1|           7650|           4453|             -1|    04318-02488
             -1|        eps CrB|    2037-1826-1|          78159|          84098|             -1|    02037-01826
             -1|         11 Sco|    5620-1384-1|          79005|         159715|             -1|    05620-01384
             -1|         27 LMi|    2513-1223-1|          50860|          62010|             -1|    02513-01223
             -1|         20 Vir|      877-959-1|          61246|         100146|             -1|    00877-00959
             -1|      gam Lup B|    7840-1432-1|             -1|             -1|             -1|             -1
             -1|        tet Car|    8965-1765-1|          52419|         251083|             -1|             -1
             -1|         93 Leo|    1443-2662-1|          57565|          81998|             -1|    01443-02662
             -1|          6 Sex|    4899-1904-1|          48341|         137183|             -1|    04899-01904
             -1|         12 Lib|    6751-1896-1|          72929|         182983|             -1|    06751-01896
             -1|         75 Vir|     6121-959-1|          66091|         157998|             -1|    06121-00959
             -1|         61 Ser|     5112-348-1|          90844|         142372|             -1|    05112-00348
             -1|        psi For|      7560-11-1|          13473|         193965|             -1|    07560-00011
             -1|         58 Cet|    4686-2532-1|           9165|         129588|             -1|             -1
             -1|      tet02 Eri|             -1|             -1|         216114|             -1|             -1
             -1|        iot Eri|    7559-1160-1|          12486|         215999|             -1|    07559-01160
             -1|        kap Lib|     6193-631-1|          76880|         159442|             -1|    06193-00631
             -1|        rho Aur|    2917-2528-1|          25048|          40269|             -1|    02917-02528
             -1|        ksi Cnc|    1407-1989-1|          44946|          80666|             -1|    01407-01989
             -1|        psi And|    3638-2516-1|         117221|          53355|             -1|    03638-02516
             -1|        bet Tri|    2317-1647-1|          10064|          55306|             -1|             -1
             -1|        104 Aqr|    6407-1131-1|         116901|         165836|             -1|    06407-01131
             -1|        tet Lyr|    3121-2287-1|          94713|          68065|             -1|    03121-02287
